これはあるユーザーの一日の、時間とその瞬間のユーザーの行動、その時に使った機能を表す文書です。
機能はユーザーのニーズをサポートするもので、あなたは最適な機能をユーザーに提案しなければならない。

左から、「検出された時間、行動、使った機能」です。

7:30, STABLE, ニュース閲覧

8:00, STABLE, 天気情報

8:30, WALKING, 経路検索

9:00, STABLE, 楽曲再生

9:30, WALKING, 楽曲再生

10:00, STABLE, 会議情報

10:30, WALKING, 会議情報

11:00, STABLE, 楽曲再生

11:30, STABLE, レストラン検索

12:00, STABLE, レストラン検索

12:30, STABLE, 楽曲再生/動画視聴

13:00, WALKING, 会議情報

13:30, STABLE, 会議情報

14:00, WALKING, 会議情報

14:30, STABLE, 天気情報

15:00, WALKING, 楽曲再生

15:30, STABLE, 会議情報

16:00, WALKING, 会議情報

16:30, STABLE, 楽曲再生

17:00, STABLE, 天気情報

17:30, WALKING, 経路検索

18:00, STABLE, 楽曲再生

18:30, RUNNING, 楽曲再生

19:00, RUNNING, 楽曲再生

19:30, STABLE, 動画視聴

20:00, STABLE, 動画視聴

7:30, STABLE, ニュース閲覧

8:00, STABLE, 天気情報

8:30, WALKING, 経路検索

9:00, STABLE, 楽曲再生

9:30, WALKING, 楽曲再生

10:00, STABLE, 会議情報

10:30, WALKING, 会議情報

11:00, STABLE, 楽曲再生

11:30, STABLE, レストラン検索

12:00, STABLE, レストラン検索

12:30, STABLE, 楽曲再生/動画視聴

13:00, WALKING, 会議情報

13:30, STABLE, 会議情報

14:00, WALKING, 会議情報

14:30, STABLE, 天気情報

15:00, WALKING, 楽曲再生

15:30, STABLE, 会議情報

16:00, WALKING, 会議情報

16:30, STABLE, 楽曲再生

17:00, STABLE, 天気情報

17:30, WALKING, 経路検索

18:00, STABLE, 楽曲再生

18:30, RUNNING, 楽曲再生

19:00, RUNNING, 楽曲再生

19:30, STABLE, 動画視聴

20:00, STABLE, 動画視聴

7:30, STABLE, ニュース閲覧

8:00, STABLE, 天気情報

8:30, WALKING, 経路検索

9:00, STABLE, 楽曲再生

9:30, WALKING, 楽曲再生

10:00, STABLE, 会議情報

10:30, WALKING, 会議情報

11:00, STABLE, 楽曲再生

11:30, STABLE, レストラン検索

12:00, STABLE, レストラン検索

12:30, STABLE, 楽曲再生/動画視聴

13:00, WALKING, 会議情報

13:30, STABLE, 会議情報

14:00, WALKING, 会議情報

14:30, STABLE, 天気情報

15:00, WALKING, 楽曲再生

15:30, STABLE, 会議情報

16:00, WALKING, 会議情報

16:30, STABLE, 楽曲再生

17:00, STABLE, 天気情報

17:30, WALKING, 経路検索

18:00, STABLE, 楽曲再生

18:30, RUNNING, 楽曲再生

19:00, RUNNING, 楽曲再生

19:30, STABLE, 動画視聴

20:00, STABLE, 動画視聴
