user,assistant
"The current date and time is 8:45:00, the current user action status is 'WALKING', and the status of the surrounding environment is 'OUTDOORS'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Route Search and have needs like searching for routes."

"The current date and time is 9:10:00, the current user action status is WALKING, and the status of the surrounding environment is 'OUTDOORS'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
"The current date and time is 10:30:00, the current user action status is WALKING, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Meeting Info and have needs like checking the next meeting details."
"The current date and time is 12:30:00, the current user action status is STABLE, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
"The current date and time is 15:30:00, the current user action status is WALKING, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Meeting Info and have needs like checking the next meeting details."
"The current date and time is 17:45:00, the current user action status is WALKING, and the status of the surrounding environment is 'OUTDOORS'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
"The current date and time is 7:20:00, the current user action status is STABLE, and the status of the surrounding environment is 'HOME'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Weather Info and have needs like checking the weather."
"The current date and time is 8:00:00, the current user action status is WALKING, and the status of the surrounding environment is 'OUTDOORS'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Route Search and have needs like searching for routes."
"The current date and time is 10:51:00, the current user action status is WALKING, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Meeting Info and have needs like checking the next meeting details."
"The current date and time is 11:58:00, the current user action status is STABLE, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Do Nothing and have needs like taking a break."
"The current date and time is 12:45:00, the current user action status is STABLE, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Meeting Info and have needs like checking the next meeting details."
"The current date and time is 19:00:00, the current user action status is RUNNING, and the status of the surrounding environment is 'GYM'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
"The current date and time is 7:15:00, the current user action status is STABLE, and the status of the surrounding environment is 'HOME'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Weather Info and have needs like checking the weather."
"The current date and time is 8:20:00, the current user action status is WALKING, and the status of the surrounding environment is 'OUTDOORS'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Route Search and have needs like searching for routes."
"The current date and time is 12:10:00, the current user action status is WALKING, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Restaurant Search and have needs like finding nearby restaurants."
"The current date and time is 12:30:00, the current user action status is STABLE, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
"The current date and time is 19:20:00, the current user action status is RUNNING, and the status of the surrounding environment is 'GYM'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
"The current date and time is 7:10:00, the current user action status is STABLE, and the status of the surrounding environment is 'HOME'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Weather Info and have needs like checking the weather."
"The current date and time is 8:15:00, the current user action status is WALKING, and the status of the surrounding environment is 'OUTDOORS'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Route Search and have needs like searching for routes."
"The current date and time is 10:00:00, the current user action status is WALKING, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Meeting Info and have needs like checking the next meeting details."
"The current date and time is 12:50:00, the current user action status is STABLE, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Meeting Info and have needs like checking the next meeting details."
"The current date and time is 19:50:00, the current user action status is RUNNING, and the status of the surrounding environment is 'GYM'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
"The current date and time is 10:55:00, the current user action status is STABLE, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Do Nothing and have needs like taking a break."
"The current date and time is 12:01:00, the current user action status is STABLE, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Do Nothing and have needs like taking a break."
"The current date and time is 12:05:00, the current user action status is WALKING, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Restaurant Search and have needs like finding nearby restaurants."
"The current date and time is 12:30:00, the current user action status is STABLE, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
"The current date and time is 19:00:00, the current user action status is RUNNING, and the status of the surrounding environment is 'GYM'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
"The current date and time is 7:00:00, the current user action status is STABLE, and the status of the surrounding environment is 'HOME'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Weather Info and have needs like checking the weather."
"The current date and time is 11:00:00, the current user action status is WALKING, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Meeting Info and have needs like checking the next meeting details."
"The current date and time is 12:02:00, the current user action status is STABLE, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Do Nothing and have needs like taking a break."
"The current date and time is 12:04:00, the current user action status is WALKING, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Restaurant Search and have needs like finding nearby restaurants."
"The current date and time is 12:30:00, the current user action status is STABLE, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
"The current date and time is 14:00:00, the current user action status is WALKING, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Meeting Info and have needs like checking the next meeting details."
"The current date and time is 19:00:00, the current user action status is RUNNING, and the status of the surrounding environment is 'GYM'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
"The current date and time is 8:00:00, the current user action status is WALKING, and the status of the surrounding environment is 'OUTDOORS'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Route Search and have needs like searching for routes."
"The current date and time is 10:50:00, the current user action status is STABLE, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Do Nothing and have needs like taking a break."
"The current date and time is 12:05:00, the current user action status is WALKING, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Restaurant Search and have needs like finding nearby restaurants."
"The current date and time is 13:50:00, the current user action status is WALKING, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Meeting Info and have needs like checking the next meeting details."
"The current date and time is 17:30:00, the current user action status is WALKING, and the status of the surrounding environment is 'OUTDOORS'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Route Search and have needs like searching for routes."
"The current date and time is 18:00:00, the current user action status is WALKING, and the status of the surrounding environment is 'OUTDOORS'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Route Search and have needs like searching for routes."
"The current date and time is 8:25:00, the current user action status is WALKING, and the status of the surrounding environment is 'OUTDOORS'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Route Search and have needs like searching for routes."
"The current date and time is 9:00:00, the current user action status is STABLE, and the status of the surrounding environment is 'TRAIN'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
