これはあるユーザーの一日の、時間とその瞬間のユーザーの行動、その時に使った機能を表す文書です。
機能はユーザーのニーズをサポートするもので、あなたは最適な機能をユーザーに提案しなければならない。

左から、「検出された時間、行動、使った機能」です。

9:30, WALKING, 楽曲再生

10:30, WALKING, 楽曲再生

12:30, WALKING, 楽曲再生

15:30, WALKING, 楽曲再生

17:30, WALKING, 楽曲再生

7:30, STABLE, 天気情報

12:30, STABLE, 楽曲再生/動画視聴

19:00, RUNNING, 楽曲再生

20:00, STABLE, 動画視聴

7:30, STABLE, ニュース閲覧

12:30, STABLE, 楽曲再生/動画視聴

19:00, RUNNING, 楽曲再生

20:00, STABLE, 動画視聴

7:30, STABLE, ニュース閲覧

12:30, STABLE, 楽曲再生/動画視聴

19:00, RUNNING, 楽曲再生

20:00, STABLE, 動画視聴

7:30, STABLE, レストラン検索

12:30, STABLE, 楽曲再生/動画視聴

19:00, RUNNING, 楽曲再生

20:00, STABLE, 動画視聴

7:30, STABLE, ニュース閲覧

12:30, STABLE, 楽曲再生/動画視聴

19:00, RUNNING, 楽曲再生

20:00, STABLE, 動画視聴

9:30, WALKING, 経路検索

10:30, WALKING, 経路検索

12:30, WALKING, 経路検索

15:30, WALKING, 経路検索

17:30, WALKING, 経路検索

11:30, WALKING, 経路検索
