


Date:Monday 8:00, UserActionState:WALKING, Location:玉川学園前, UsedApp:経路検索を使用し、玉川学園前から本厚木を検索

Date:Monday 10:51, UserActionState:WALKING, Location:会社, UsedApp:会議情報を使用し、次の会議室の場所を確認

Date:Monday 11:58, UserActionState:WALKING, Location:会社, UsedApp:レストラン検索を使用し、現在地周辺を検索

Date:Monday 12:45, UserActionState:STABLE, Location:会社, UsedApp:会議情報を使用し、次の会議室の場所を確認

Date:Monday 19:00, UserActionState:RUNNING, Location:ジム, UsedApp:楽曲再生を使用し、LinkedActionsModeを再生

Date:Monday 8:25, UserActionState:WALKING, Location:玉川学園前, UsedApp:経路検索を使用し、玉川学園前から本厚木を検索

Date:Monday 9:00, UserActionState:STABLE, Location:電車, UsedApp:楽曲再生を使用し、HouseMusicを再生

Date:Monday 9:10, UserActionState:STABLE, Location:電車, UsedApp:楽曲再生を使用し、HouseMusicを再生

Date:Monday 12:08, UserActionState:WALKING, Location:会社, UsedApp:レストラン検索を使用し、現在地周辺を検索

Date:Monday 14:00, UserActionState:WALKING, Location:会社, UsedApp:会議情報を使用し、次の会議室の場所を確認

Date:Monday 19:35, UserActionState:RUNNING, Location:ジム, UsedApp:楽曲再生を使用し、LinkedActionsModeを再生

Date:Monday 19:25, UserActionState:RUNNING, Location:ジム, UsedApp:楽曲再生を使用し、LinkedActionsModeを再生


Date:Tuesday 8:15, UserActionState:WALKING, Location:玉川学園前, UsedApp:経路検索を使用し、玉川学園前から大崎を検索

Date:Tuesday 8:15, UserActionState:STABLE, Location:電車, UsedApp:楽曲再生を使用し、LinkedActionsModeを再生






Date:Tuesday 12:05, UserActionState:WALKING, Location:会社, UsedApp:レストラン検索を使用し、現在地周辺を検索
Date:Monday 8:10, UserActionState:STABLE, Location:電車, UsedApp:楽曲再生を使用し、HouseMusicを再生








Date:Tuesday 9:57, UserActionState:STABLE, Location:会社, UsedApp:会議情報を使用し、次の会議室の場所を確認

Date:Tuesday 10:55, UserActionState:STABLE, Location:会社, UsedApp:会議情報を使用し、次の会議室の場所を確認

Date:Tuesday 12:08, UserActionState:WALKING, Location:会社, UsedApp:レストラン検索を使用し、現在地周辺を検索

Date:Tuesday 14:55, UserActionState:STABLE, Location:会社, UsedApp:会議情報を使用し、次の会議室の場所を確認



Date:Tuesday 11:00, UserActionState:WALKING, Location:会社, UsedApp:会議情報を使用し、次の会議室の場所を確認

Date:Tuesday 12:02, UserActionState:WALKING, Location:会社, UsedApp:レストラン検索を使用し、現在地周辺を検索

Date:Tuesday 12:30, UserActionState:STABLE, Location:会社, UsedApp:楽曲再生を使用し、RelaxMusicを再生

Date:Tuesday 14:00, UserActionState:WALKING, Location:会社, UsedApp:会議情報を使用し、次の会議室の場所を確認

Date:Tuesday 19:00, UserActionState:RUNNING, Location:ジム, UsedApp:楽曲再生を使用し、LinkedActionsModeを再生

Date:Tuesday 8:45, UserActionState:WALKING, Location:玉川学園前, UsedApp:経路検索を使用し、玉川学園前から大崎を検索

Date:Tuesday 9:10, UserActionState:WALKING, Location:電車, UsedApp:楽曲再生を使用し、HouseMusicを再生

Date:Tuesday 10:30, UserActionState:WALKING, Location:会社, UsedApp:会議情報を使用し、次の会議室の場所を確認

Date:Tuesday 12:30, UserActionState:STABLE, Location:会社, UsedApp:楽曲再生を使用し、RelaxMusicを再生

Date:Tuesday 15:30, UserActionState:WALKING, Location:会社, UsedApp:会議情報を使用し、次の会議室の場所を確認

Date:Tuesday 17:45, UserActionState:WALKING, Location:downtown, UsedApp:楽曲再生を使用し、HouseMusicを再生




Date:Wednesday 8:15, UserActionState:WALKING, Location:玉川学園前, UsedApp:経路検索を使用し、玉川学園前から本厚木を検索

Date:Wednesday 10:00, UserActionState:WALKING, Location:会社, UsedApp:会議情報を使用し、次の会議室の場所を確認

